ノマ	w0001.mp3	ノマ
ひと-	w0002.mp3	ひと
ひのと	w0003.mp3	ひのと
なな	w0004.mp3	なな
よろず	w0005.mp3	よろず
たけ	w0006.mp3	たけ
み	w0007.mp3	み
うえ	w0008.mp3	うえ
した	w0009.mp3	した
フ	w0010.mp3	フ
あた.える	w0011.mp3	あたえる
こ.う	w0012.mp3	こう
うし	w0013.mp3	うし
か.つ	w0014.mp3	かつ
おお.きい	w0015.mp3	おおきい
よ	w0016.mp3	よ
おか	w0017.mp3	おか
ひのえ	w0018.mp3	ひのえ
すく.う	w0019.mp3	すくう
てる	w0020.mp3	てる
な.み	w0021.mp3	なみ
すす.む	w0022.mp3	すすむ
カ	w0023.mp3	カ
なか	w0024.mp3	なか
カン	w0025.mp3	カン
くし	w0026.mp3	くし
チュ	w0027.mp3	チュ
まる	w0028.mp3	まる
に	w0029.mp3	に
ぬし	w0030.mp3	ぬし
どんぶり	w0031.mp3	どんぶり
えい	w0032.mp3	えい
おさ.める	w0033.mp3	おさめる
の	w0034.mp3	の
ひさ.しい	w0035.mp3	ひさしい
-なが.ら	w0036.mp3	ながら
か	w0037.mp3	か
とぼ.しい	w0038.mp3	とぼしい
とら	w0039.mp3	とら
そむ.く	w0040.mp3	そむく
の.る	w0041.mp3	のる
おと-	w0042.mp3	おと
ここの	w0043.mp3	ここの
なり	w0044.mp3	なり
たわ	w0045.mp3	たわ
みだ.れる	w0046.mp3	みだれる
ちち	w0047.mp3	ちち
かわ.く	w0048.mp3	かわく
かめ	w0049.mp3	かめ
かぎ	w0050.mp3	かぎ
リョウ	w0051.mp3	リョウ
あらかじ.め	w0052.mp3	あらかじめ
あらそ.う	w0053.mp3	あらそう
こと	w0054.mp3	こと
ふた	w0055.mp3	ふた
ここに	w0056.mp3	ここに
い.う	w0057.mp3	いう
たが.い	w0058.mp3	たがい
いつ	w0059.mp3	いつ
い	w0060.mp3	い
わた.る	w0061.mp3	わたる
ち.と	w0062.mp3	ちと
つ.ぐ	w0063.mp3	つぐ
しばしば	w0064.mp3	しばしば
トウ	w0065.mp3	トウ
な.い	w0066.mp3	ない
たかぶる	w0067.mp3	たかぶる
まじ.わる	w0068.mp3	まじわる
また	w0069.mp3	また
とお.る	w0070.mp3	とおる
う.ける	w0071.mp3	うける
みやこ	w0072.mp3	みやこ
